name,url,year_founded,city,state,full_time_employees,type,company_category,revenue_source,business_model
ConnectEDU,http://www.connectedu.com,2002,Boston,MA,51-200,Private,Education,Not reported by company,Business to Consumer
Bekins,http://www.bekins.com,1891,Indianapolis,IN,51-200,Private,Transportation,Not reported by company,"Business to Business, Business to Government"
TransparaGov,http://www.TransparaGov.com/,2011,NA,DC,11-50,Private,Governance,Not reported by company,"Business to Consumer, Business to Government"
Open Data Nation,www.opendatanation.com,2015,Washington,DC,1-10,Private,Research & Consulting,"Consulting, Data analysis for clients, Government contract, Lead generation to other businesses, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
US Green Data,http://www.usgreendata.com/,2010,Cambridge,MA,NA,Private,Energy,Not reported by company,NA
Foursquare,https://foursquare.com,2009,New York,NY,51-200,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
KPMG,http://www.kpmg.com,1987,New York,NY,"10,001+",Partnership,Business & Legal Services,Not reported by company,Business to Business
Berkery Noyes MandASoft,https://mandasoft.com/,2009,New York,NY,1-10,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
People Power,http://www.peoplepowerco.com/,2009,NA,CA,51-200,Private,Data/Technology,NA,Business to Consumer
Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,2006,New York,NY,51-200,Private,Data/Technology,Not provided by company,Business to Business
Geoscape,www.geoscape.com,1995,Miami,FL,11-50,Private,Lifestyle & Consumer,not reported by company,Business to Business
Vimo,www.vimo.com,2012,Palo Alto,CA,51-200,Private,Insurance,not reported by company,NA
Cambridge Semantics,http://www.cambridgesemantics.com/home,2007,Boston,MA,11-50,Private,Data/Technology,Not reported by company,Business to Business
NERA Economic Consulting,http://www.nera.com/,1961,NA,NY,"501-1,000",Public,Research & Consulting,Not reported by company,Business to Business
Yahoo,http://www.yahoo.com/,1994,Sunnyvale,CA,"10,001+",Public,Lifestyle & Consumer,Not reported by company,NA
Smartronix,http://smartronix.com/,1995,Hollywood,MD,"501-1,000",Private,Data/Technology,Not reported by company,NA
LexisNexis,http://www.lexisnexis.com/en-us/home.page,1977,New York,NY,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
Accela,http://www.accela.com,1999,San Ramon,CA,"501-1,000",Private,Governance,Not reported by company,Business to Consumer
LoseIt.com,http://loseit.com,2008,Boston,MA,11-50,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
BillGuard,https://www.billguard.com,2010,New York,NY,11-50,Private,Finance & Investment,User fees for web or mobile access,Business to Consumer
Caspio,http://www.caspio.com/,2000,Santa Clara,CA,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Aidin,http://www.myAidin.com,2011,New York,NY,1-10,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
SnapSense,www.snapsense.co,2011,Chicago,IL,1-10,Private,Research & Consulting,not reported by company,"Business to Government, nonprofit"
Locavore,http://www.getlocavore.com,2009,Madison,WI,1-10,Private,Food & Agriculture,Not reported by company,Business to Consumer
BaleFire Global,http://balefireglobal.com,2014,Raleigh,NC,1-10,Private,Data/Technology,"Data analysis for clients, Database licensing, Open Data Portal Deployment",Business to Government
Acxiom,http://acxiom.com,1969,Little Rock,AR,"5,001-10,000",Public,Data/Technology,Not reported by company,Business to Business
NuCivic,http://www.nucivic.com,2011,New York,NY,11-50,Private,Governance,Software licensing,"Business to Government, nonprofit"
Sterling Infosystems,http://www.sterlinginfosystems.com/,1976,New York,NY,11-50,Private,Business & Legal Services,Not reported by company,NA
Rezolve Group,http://www.rezolvegroup.com,2007,Sacramento,CA,11-50,Private,Education,Not reported by company,Business to Consumer
Asset4,asset4.com,2003,New York,NY,51-200,Private,Finance & Investment,Not reported by company,Business to Business
SpotCrime,www.spotcrime.com,2007,Baltimore,MD,11-50,Private,Governance,Advertising,"Business to Consumer, nonprofit"
Everyday Health,http://www.everydayhealth.com,2002,New York,NY,"501-1,000",Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Kyruus,http://kyruus.com,2010,Boston,MA,51-200,Private,Healthcare,Not reported by company,Business to Business
optiGov,optigov.com,2013,NA,NJ,1-10,NA,Governance,"Philanthropic grants, Not provided by company","Business to Consumer, Business to Government"
LOVELAND Technologies,www.makeloveland.com,2010,Detroit,MI,1-10,Private,Data/Technology,"Subscriptions, Special Projects","Business to Consumer, Business to Government, nonprofit"
Fidelity Investments,https://www.fidelity.com,1946,Boston,MA,"10,001+",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Dow Jones & Co.,http://www.dowjones.com,1882,New York,NY,"5,001-10,000",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
NextBus,http://www.nextbus.com,1997,Emeryville,CA,11-50,Public,Transportation,Not reported by company,"Business to Consumer, Business to Government"
American Red Ball Movers,http://www.redball.com,1919,Indianapolis,IN,11-50,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Microsoft Windows Azure Marketplace,http://datamarket.azure.com,2010,Redmond,WA,"10,001+",Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
IBM,www.ibm.com,1912,Armonk,NY,"10,001+",Public,Data/Technology,"IT and business hardware, software, and services",NA
DataMarket,datamarket.com,2008,Boston,MA,11-50,Private,Data/Technology,Software licensing,Business to Consumer
Estately,http://www.estately.com/,2007,Seattle,WA,1-10,Private,Housing/Real Estate,Lead generation to other businesses,Business to Consumer
Garmin,http://www.garmin.com/en-US,1989,Olathe,KA,"5,001-10,000",Public,Geospatial/Mapping,Not reported by company,Business to Consumer
Google Public Data Explorer,https://www.google.com/intl/en/about/,2009,Mountain View,CA,"5,001-10,000",Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Department of Better Technology,dobt.co,2013,Atlanta,GA,1-10,Private,Governance,Software licensing,Business to Business
BuildZoom,www.buildzoom.com,2010,San Francisco,CA,11-50,Private,Housing/Real Estate,"Advertising, Lead generation to other businesses",Business to Consumer
PEV4me.com,http://www.pev4me.com,2011,NA,CA,1-10,Private,Energy,"Advertising, Data analysis for clients, Database licensing, Software licensing",Business to Consumer
Bing,http://www.bing.com,2009,Redmond,WA,"10,001+",Private,Data/Technology,Not reported by company,NA
MedWatcher,http://www.medwatcher.org,2010,"Boston, MA",MA,NA,Private,Healthcare,"Data analysis for clients, Database licensing, Database licensing",NA
Rank and Filed,http://rankandfiled.com/,2013,NA,NY,NA,Private,Finance & Investment,Not reported by company,NA
Progressive Insurance Group,http://www.progressive.com,1937,Mayfield Village,OH,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
Remi,www.remi.com,1980,Amherst,MA,51-200,Private,Governance,not reported by company,"Business to Business, Business to Government"
EMC,http://www.emc.com/index.htm,1979,Hopkinton,MA,"10,001+",Public,Data/Technology,Not reported by company,Business to Business
Weight Watchers,http://www.weightwatchers.com/,1960,Jericho,NY,"10,001+",Public,Lifestyle & Consumer,Not reported by company,NA
Farmers,http://www.farmers.com,1928,Los Angeles,CA,"10,001+",Public,Insurance,Not reported by company,"Business to Business, Business to Consumer"
Zillow,http://www.zillow.com/,2006,Seattle,WA,"1,001-5,000",Public,Housing/Real Estate,Not reported by company,NA
Kroll Bond Ratings Agency,https://www.krollbondratings.com/,2010,New York,NY,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Seabourne,www.seabourneinc.com,2010,Washington DC,DC,201-500,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
Peterson's,www.corporate.petersons.com,1966,Paramus,NJ,51-200,Public,Education,not reported by company,Business to Consumer
ProgrammableWeb,http://www.programmableweb.com,2005,Seattle,WA,11-50,Public,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
Nationwide Mutual Insurance Company,http://www.nationwide.com,1926,NA,OH,"10,001+",Private,Insurance,Not reported by company,"Business to Business, Business to Consumer"
Development Seed,developmentseed.org,2004,Washington,DC,1-10,Private,Governance,"Data analysis for clients, Database licensing, Custom open source software development","Business to Business, Business to Consumer"
National Van Lines,http://www.nationalvanlines.com,1901,Broadview,IL,51-200,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
MapQuest,http://www.mapquest.com,1967,Denver,CO,51-200,Public,Geospatial/Mapping,Not reported by company,Business to Consumer
Votizen,www.votizen.com,2010,NA,NY,1-10,Private,Governance,not reported by company,Business to Consumer
AreaVibes Inc.,http://www.areavibes.com/,2009,NA,NY,1-10,Private,Data/Technology,not reported by company,Business to Consumer
Castle Biosciences,http://www.castlebiosciences.com,2008,Friendswood,TX,1-10,Private,Scientific Research,Not reported by company,Business to Consumer
Personal Democracy Media,http://personaldemocracy.com,2004,New York,NY,1-10,NA,Governance,"Advertising, Philanthropic grants, Subscriptions, User fees for web or mobile access",Business to Consumer
Amida Technology Solutions,http://amida-tech.com/index.html,2013,Washington,DC,1-10,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
RAND Corporation,http://www.rand.org,1946,Santa Monica,CA,"1,001-5,000",Nonprofit,Research & Consulting,Not reported by company,"Business to Business, Business to Government"
AutoGrid Systems,http://www.auto-grid.com,2011,Redwood Shores,CA,11-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Wolters Kluwer,http://www.wolterskluwer.com/,1836,Minneapolis,MN,"10,001+",Public,Business & Legal Services,Not reported by company,NA
iTriage,itriagehealth.com,2008,Denver,CO,51-200,Public,Healthcare,"Lead generation to other businesses, Subscriptions","Business to Business, Business to Consumer"
S&P Capital IQ,https://www.capitaliq.com,2010,New York,NY,"5,001-10,000",Private,Finance & Investment,Not provided by company,Business to Business
Junyo,http://junyo.com,2011,Menlo Park,CA,11-50,Private,Education,"Data analysis for clients, Database licensing","Business to Business, Business to Government"
GenoSpace,https://www.genospace.com,2011,Cambridge,MA,11-50,Private,Healthcare,Not reported by company,"Business to Business, academia"
Zonability,http://www.zonability.com/,2003,Austin,TX,11-50,Private,Housing/Real Estate,Not reported by company,"Business to Business, Business to Government, nonprofit"
KLD Research,http://www.msci.com/products/esg/#,1988,New York,NY,51-200,Private,Finance & Investment,Not reported by company,Business to Business
OpenGov,http://opengov.com,2012,Mountain View,CA,11-50,Private,Governance,Subscriptions,"Business to Business, Business to Consumer, Business to Government"
The Advisory Board Company,http://www.advisory.com/,1979,NA,DC,"1,001-5,000",Public,Research & Consulting,Not reported by company,NA
Fujitsu,http://www.fujitsu.com/us/,1935,Sunnyvale,CA,"10,001+",Private,Data/Technology,"ICT Product and Services, Software licensing, Data analysis for clients, Database licensing",NA
Zebu Compliance Solutions,www.zebucompliance.com,1999,Portsmouth,OH,11-50,Private,Healthcare,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Government"
Charles River Associates,http://crai.com/,1965,NA,MA,"501-1,000",Public,Research & Consulting,Not reported by company,Business to Business
Avvo,http://www.avvo.com,2006,Seattle,WA,51-200,Private,Business & Legal Services,Not reported by company,Business to Consumer
Credit Karma,https://www.creditkarma.com,2007,San Francisco,CA,51-200,Private,Finance & Investment,Not reported by company,Business to Consumer
Booz Allen Hamilton,http://www.boozallen.com,1914,McLean,VA,"10,001+",Public,Research & Consulting,Not reported by company,Business to Business
"Personal, Inc.",personal.com,2009,Washington,DC,11-50,Private,Lifestyle & Consumer,"Subscriptions, User fees for web or mobile access",Business to Consumer
InnoCentive,http://www.innocentive.com,2001,Waltham,MA,51-200,Private,Scientific Research,Not reported by company,NA
"Fuzion Apps, Inc.",www.fuzionapps.com,2012,Sugar Land,TX,1-10,Public,Lifestyle & Consumer,"Advertising, Lead generation to other businesses, Software licensing, User fees for web or mobile access, Feature upgrades within the app",Business to Business
Merrill Corp.,http://www.merrillcorp.com,1968,St. Paul,MN,"10,001+",Private,Data/Technology,Not reported by company,Business to Business
Rapid Cycle Solutions,www.rapidcyclesolutions.com,2013,Nokesville,VA,1-10,Private,Data/Technology,IT related consulting services,"Business to Business, Business to Government"
Walk Score,www.walkscore.com,2007,Seattle,WA,1-10,Private,Lifestyle & Consumer,"Advertising, Database licensing, Subscriptions","Business to Business, Business to Consumer"
Golden Helix,http://www.goldenhelix.com/,1998,Bozeman,MT,11-50,Private,Scientific Research,Not reported by company,Business to Business
GovTribe,govtribe.com,2012,Arlington,VA,1-10,Private,Governance,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
Alarm.com,www.alarm.com,2000,Leesburg Pike Vienna,VA,201-500,Private,Lifestyle & Consumer,NA,Business to Consumer
J.P. Morgan Chase,http://www.jpmorganchase.com/corporate/Home/home.htm,1799,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Tableau Software,http://www.tableausoftware.com/,2003,Seattle,WA,"1,001-5,000",Public,Data/Technology,Not reported by company,NA
"Qado Energy, Inc.",www.qadoenergy.com,2009,Summit,NJ,1-10,Private,Energy,"Data analysis for clients, Database licensing, Software licensing",Business to Business
Earthquake Alert!,https://play.google.com/store/apps/details?id=com.joshclemm.android.quake&hl=en,2013,Reston,VA,NA,Public (Federal-USGS),Geospatial/Mapping,Not reported by company,Business to Consumer
LegiStorm,http://www.legistorm.com/,2006,Washington,DC,1-10,Private,Governance,Not reported by company,Business to Consumer
Altova,http://www.altova.com,1992,Beverly,MA,51-200,Private,Data/Technology,Not reported by company,Business to Business
"KidAdmit, Inc.",www.kidadmit.com,2012,San Francisco,CA,1-10,Private,Education,not reported by company,Business to Consumer
Boundless,www.boundlessgeo.com,2013,New York,NY,11-50,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions, User fees for web or mobile access",Business to Business
Rand McNally,http://www.randmcnally.com/,1856,Skokie,IL,201-500,Private,Geospatial/Mapping,Not reported by company,"Business to Business, Business to Consumer"
SlashDB,http://www.slashdb.com/,2010,Jersey City,NJ,1-10,Private,Data/Technology,"Consulting, Data analysis for clients, Database licensing, Software licensing","Business to Business, Business to Government"
YourMapper,http://www.yourmapper.com,2005,Louisville,KY,1-10,Private,Geospatial/Mapping,"Advertising, Data analysis for clients, Database licensing, Software licensing, Subscriptions, API","Business to Business, Business to Consumer"
FlightAware,http://www.flightaware.com/,2005,Houston,TX,51-200,Private,Transportation,Not reported by company,Business to Business
Panjiva,www.panjiva.com,2006,New York,NY,11-50,Private,NA,"Software licensing, Subscriptions",Business to Business
Civinomics,civinomics.com,2011,Santa Cruz,CA,1-10,Private,Governance,Lead generation to other businesses,"Business to Consumer, Business to Government"
NonprofitMetrics,https://www.nonprofitmetrics.com,2013,Washington,DC,1-10,Private,Data/Technology,"Database licensing, Subscriptions",Business to Business
Govini,http://www.govini.com,2011,San Francisco,CA,11-50,Private,Governance,Subscriptions,Business to Business
Granicus,http://www.granicus.com,1999,San Francisco,CA,51-200,Private,Governance,Not reported by company,Business to Government
Earth Networks,www.earthnetworks.com,1993,Germantown,MD,51-200,Private,Environment & Weather,NA,"Business to Business, Business to Consumer, Business to Government"
Mint,https://www.mint.com,2006,Mountain View,CA,"5,001-10,000",Public,Finance & Investment,Not reported by company,Business to Consumer
Pave,http://www.pave.com,2012,New York,NY,1-10,Private,Finance & Investment,"Philanthropic grants, User fees for web or mobile access",Business to Business
AllState Insurance Group,http://www.allstate.com,1931,Northbrook,IL,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
"HDScores, Inc",http://hdscores.com,2012,Baltimore,MD,1-10,Private,Lifestyle & Consumer,not reported by company,Business to Consumer
FlightStats,http://www.flightstats.com/,2005,Portland,OR,51-200,Private,Transportation,Not reported by company,Business to Consumer
Honest Buildings,https://www.honestbuildings.com,2011,New York,NY,11-50,Private,Housing/Real Estate,Not reported by company,Business to Business
Smart Utility Systems,http://smartusys.com/,2009,Chino Hills,CA,201-500,Private,Energy,Not reported by company,Business to Business
Azavea,azavea.com,2000,Philadelphia,PA,11-50,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions, Software Development Services, Open Source Software","Business to Business, Business to Government"
Quid,http://quid.com,1999,San Francisco,CA,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Government"
CoreLogic,http://www.corelogic.com,2010,Irvine,CA,"1,001-5,000",Public,Housing/Real Estate,"Data analysis for clients, Database licensing",NA
Enervee Corporation,http://enervee.com,2010,Santa Monica,CA,1-10,Private,Energy,"Advertising, Data analysis for clients, Database licensing, Lead generation to other businesses, Software licensing",Business to Business
Amazon Web Services,http://aws.amazon.com,2007,Seattle,WA,NA,Public,Data/Technology,Not reported by company,NA
Buildingeye,http://www.buildingeye.com,2011,Palo Alto,CA,1-10,Public,Housing/Real Estate,Not reported by company,Business to Consumer
Government Transaction Services,http://www.ezgrantfiling.com,2010,Vienna,VA,1-10,Private,Finance & Investment,Not reported by company,Business to Business
Barchart,www.barchartmarketdata.com,1995,Chicago,IL,51-200,Private,Data/Technology,"Advertising, Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
TuvaLabs,https://www.tuvalabs.com/,2012,New York,NY,1-10,Private,Education,"Philanthropic grants, Subscriptions","Business to Business, Business to Consumer, Business to Government"
OSIsoft,http://www.osisoft.com,1980,San Leandro,CA,"501-1,000",Private,Data/Technology,Not reported by company,Business to Business
Ecodesk,https://www.ecodesk.com,2010,New York,NY,11-50,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Government"
"VisualDoD, LLC",www.visualdod.com,2012,Reston,VA,1-10,Private,Aerospace and Defense,"Software licensing, Subscriptions, Advisory services","Business to Business, Business to Government"
DemystData,http://demystdata.com,2011,New York,NY,11-50,Private,Finance & Investment,Not reported by company,Business to Business
Google Maps,https://www.google.com/maps/about/explore/,2005,Mountain View,CA,"5,001-10,000",Public,Geospatial/Mapping,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Geofeedia,http://geofeedia.com/,2011,Chicago,IL,11-50,Private,Geospatial/Mapping,Not reported by company,Business to Business
BlackRock,http://www.blackrock.com,1988,Atlanta,GA,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Zurich Insurance (Risk Room),http://www.zurichna.com/,1912,Schaumburg,IL,"10,001+",Public,Insurance,Not reported by company,NA
Business Monitor International,www.businessmonitor.com,1984,New York,NY,201-500,Private,Business & Legal Services,not reported by company,Business to Business
"HealthPocket, Inc.",http://www.healthpocket.com,2012,Sunnyvale,CA,1-10,Private,Healthcare,Advertising,Business to Consumer
SpeSo Health,http://www.spesohealth.com/,2013,Philadelphia,PA,1-10,Private,Healthcare,Not reported by company,Business to Consumer
Ceiba Solutions,http://www.ceibasolutions.com,2006,Boston,MA,51-200,Private,Scientific Research,Not reported by company,"Business to Business, Business to Consumer"
The Bridgespan Group,http://www.bridgespan.org/,1973,Boston,MA,51-200,Private,Research & Consulting,NA,"Business to Government, nonprofit"
Informatica,http://www.informatica.com,1993,Redwood City,CA,"1,001-5,000",Public,Data/Technology,Not provided by company,Business to Business
TrialX,http://trialx.com/,2007,New York,NY,1-10,Private,Healthcare,"Software licensing, Subscriptions","Business to Business, Business to Consumer, academia + nonprofit"
Standard and Poor's,http://www.standardandpoors.com/en_US/web/guest/home,1860,NA,NY,"10,001+",Public,Finance & Investment,Not reported by company,NA
TopCoder,http://www.topcoder.com/,2001,San Francisco,CA,51-200,NA,Data/Technology,Not reported by company,Business to Consumer
Poncho App,http://poncho.is/,2013,New York,NY,NA,Private,Environment & Weather,Not reported by company,Business to Consumer
Equal Pay for Women,http://resources.alljobopenings.com/equality,2012,Midlothian,VA,NA,NA,Business & Legal Services,Not provided by company,NA
Dun & Bradstreet,http://www.dnb.com,1841,Short Hills,NJ,"1,001-5,000",Public,Business & Legal Services,"Subscriptions, Credit Risk and Business Insight, Lead generation to other businesses, Data analysis for clients, Database licensing",NA
Science Exchange,scienceexchange.com,2011,Palo Alto,CA,11-50,Private,Scientific Research,User fees for web or mobile access,"Business to Business, academia"
Harris Corporation,www.harris.com,1895,Melbourne,FL,"10,001+",Public,Environment & Weather,"Government & Defense, Data analysis for clients, Database licensing",NA
Weather Channel,http://www.weather.com/,1982,Atlanta,GA,"1,001-5,000",Public,NA,Not reported by company,NA
StreetEasy,http://streeteasy.com/,2005,NA,NY,11-50,Private,Housing/Real Estate,Not provided by company,Business to Consumer
Archimedes Inc.,http://archimedesmodel.com/,2006,San Francisco,CA,11-50,Private,Healthcare,Software licensing,"Business to Business, Business to Government, academia"
CliniCast,http://clinicast.net/,2011,Millbrae,CA,1-10,Private,Healthcare,"Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
TagniFi,tagnifi.com,2012,Tampa,FL,1-10,Private,Finance & Investment,Database licensing,Business to Business
"Marinexplore, Inc.",www.marinexplore.com,2012,Sunnyvale,CA,1-10,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Software licensing",Business to Business
Kimono Labs,kimonolabs.com,2014,San Francisco,CA,1-10,Private,Data/Technology,"No revenue, investors",NA
Compendia Bioscience Life Technologies,http://www.lifetechnologies.com/us/en/home/life-science/cancer-research/cancer-genomics/compendia-bioscience-life-technologies.html,2006,Ann Arbor,MI,11-50,Public,Scientific Research,"Database licensing, Software licensing, Subscriptions","Business to Business, Business to Government, academia"
Politify,http://www.politify.us,2011,Berkeley,CA,1-10,Private,Governance,Not reported by company,Business to Consumer
Compared Care,comparedcare.com,2014,Baltimore,MD,1-10,Private,Healthcare,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
Plus-U,https://www.unigo.com/from-plusu.aspx,2008,New York,NY,11-50,NA,Education,Not reported by company,Business to Consumer
PeerJ,https://peerj.com,2012,Corte Madera,CA,1-10,Private,Scientific Research,Publication fees,academia
EarthObserver App,http://www.earth-observer.org/,2011,New York,NY,NA,NA,Geospatial/Mapping,Not reported by company,Business to Consumer
Xcential,xcential.com,2003,Encinitas,CA,1-10,Private,Governance,Other,Business to Government
Reed Elsevier,http://www.reedelsevier.com/Pages/Home.aspx,1880,New York,NY,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
SmartAsset,smartasset.com,2010,New York City,NY,1-10,Private,Finance & Investment,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
Environmental Data Resources,http://www.edrnet.com,1990,Milford,CT,51-200,Private,Environment & Weather,Not reported by company,Business to Business
Suddath,http://www.suddath.com/,1919,Wayne,NJ,"1,001-5,000",Private,Transportation,Not reported by company,NA
